txn_id,txn_ts,channel,city,merchant_category,merchant_id,customer_id,device_id,amount_inr,is_night,is_new_device,is_geo_shift,txn_count_1h,fraud_score,is_fraud_label
TXN00023198,2025-07-15 00:00:07,Card,Indore,Fuel,M1776,C82440,D82093,17838.31,1,0,0,7,0.355,0
TXN00037619,2025-07-15 00:00:45,UPI,Chennai,Fuel,M1717,C38554,D88796,6872.31,1,0,0,10,0.486,0
TXN00019476,2025-07-15 00:01:32,Wallet,Kochi,Education,M1159,C30759,D65934,907.14,1,0,0,12,0.522,0
TXN00017731,2025-07-15 00:01:41,UPI,Hyderabad,Fashion,M1884,C35405,D54123,1914.07,1,0,0,7,0.466,0
TXN00040002,2025-07-15 00:03:05,UPI,Chennai,Gaming,M1637,C64044,D95542,3121.24,1,0,0,11,0.362,0
TXN00045949,2025-07-15 00:04:36,Card,Kolkata,Grocery,M1001,C89471,D51901,15653.55,1,0,0,1,0.39,0
TXN00012713,2025-07-15 00:04:39,Card,Kochi,Fuel,M1462,C89908,D60499,5049.55,1,0,0,11,0.465,0
TXN00028822,2025-07-15 00:04:55,UPI,Hyderabad,Fashion,M1489,C61519,D75345,5798.02,1,0,0,13,0.405,0
TXN00014400,2025-07-15 00:05:01,Card,Bengaluru,Food Delivery,M1046,C71418,D88536,2515.01,1,0,0,3,0.306,0
TXN00032748,2025-07-15 00:05:54,Card,Bengaluru,Education,M1584,C43157,D60117,2631.44,1,0,0,13,0.389,0
TXN00036440,2025-07-15 00:06:08,Card,Mumbai,Food Delivery,M1777,C53845,D88565,2677.05,1,0,1,12,0.637,0
TXN00008534,2025-07-15 00:08:45,UPI,Jaipur,Electronics,M1203,C61873,D85621,3173.84,1,0,0,9,0.509,0
TXN00016633,2025-07-15 00:10:03,Card,Nagpur,Grocery,M1283,C83500,D55879,2618.96,1,1,0,13,0.628,0
TXN00005617,2025-07-15 00:10:50,Wallet,Bengaluru,Fuel,M1104,C83143,D60546,2329.29,1,0,0,3,0.268,0
TXN00045951,2025-07-15 00:11:15,Wallet,Pune,Education,M1535,C30912,D96025,6394.93,1,0,0,8,0.387,0
TXN00039029,2025-07-15 00:12:50,UPI,Hyderabad,Utilities,M1419,C37688,D86292,2936.98,1,0,0,13,0.458,0
TXN00041760,2025-07-15 00:12:53,Card,Nagpur,Travel,M1490,C35984,D53297,1981.94,1,0,0,12,0.405,0
TXN00036232,2025-07-15 00:13:26,UPI,Bengaluru,Travel,M1003,C55447,D93175,4584.48,1,0,0,7,0.433,0
