date,year,month,day,weekday,week
2025-07-15,2025,7,15,Tuesday,29
2025-07-16,2025,7,16,Wednesday,29
2025-07-17,2025,7,17,Thursday,29
2025-07-18,2025,7,18,Friday,29
2025-07-19,2025,7,19,Saturday,29
2025-07-20,2025,7,20,Sunday,29
2025-07-21,2025,7,21,Monday,30
2025-07-22,2025,7,22,Tuesday,30
2025-07-23,2025,7,23,Wednesday,30
2025-07-24,2025,7,24,Thursday,30
2025-07-25,2025,7,25,Friday,30
2025-07-26,2025,7,26,Saturday,30
2025-07-27,2025,7,27,Sunday,30
2025-07-28,2025,7,28,Monday,31
2025-07-29,2025,7,29,Tuesday,31
2025-07-30,2025,7,30,Wednesday,31
2025-07-31,2025,7,31,Thursday,31
2025-08-01,2025,8,1,Friday,31
2025-08-02,2025,8,2,Saturday,31
2025-08-03,2025,8,3,Sunday,31
2025-08-04,2025,8,4,Monday,32
2025-08-05,2025,8,5,Tuesday,32
2025-08-06,2025,8,6,Wednesday,32
2025-08-07,2025,8,7,Thursday,32
2025-08-08,2025,8,8,Friday,32
2025-08-09,2025,8,9,Saturday,32
2025-08-10,2025,8,10,Sunday,32
2025-08-11,2025,8,11,Monday,33
2025-08-12,2025,8,12,Tuesday,33
2025-08-13,2025,8,13,Wednesday,33
