alert_id,txn_id,alert_ts,channel,city,merchant_category,merchant_id,customer_id,amount_inr,fraud_score,rule_hit,severity,status,is_false_positive,is_blocked,analyst_queue
ALT0000607,TXN00033839,2025-07-19 01:24:12,UPI,Ahmedabad,Fuel,M1598,C70594,1065.31,0.825,device,Critical,Open,0,0,Queue
ALT0000784,TXN00008619,2025-07-20 04:42:51,Card,Delhi,Utilities,M1792,C34047,3618.84,0.828,device,Critical,Investigating,0,0,Queue
ALT0001007,TXN00006113,2025-07-22 01:53:11,UPI,Chennai,Travel,M1304,C42145,2490.29,0.957,device,Critical,Escalated,0,0,Queue
ALT0001011,TXN00038017,2025-07-22 02:11:37,Card,Surat,Electronics,M1057,C48329,87763.2,0.831,velocity,Critical,Investigating,0,0,Queue
ALT0001202,TXN00010125,2025-07-23 07:58:14,UPI,Surat,Fashion,M1774,C46998,1564.4,0.835,geo_mismatch,Critical,Investigating,0,0,Queue
ALT0001269,TXN00033077,2025-07-24 00:32:44,UPI,Indore,Food Delivery,M1232,C82952,26633.82,0.821,device,Critical,Escalated,0,0,Queue
ALT0001441,TXN00031648,2025-07-25 02:55:27,Card,Nagpur,Fuel,M1698,C55854,1100.75,0.981,geo_mismatch,Critical,Investigating,0,0,Queue
ALT0001456,TXN00021861,2025-07-25 03:35:38,UPI,Surat,Fuel,M1325,C39656,5390.56,0.825,velocity,Critical,Investigating,0,0,Queue
ALT0001771,TXN00027681,2025-07-27 04:02:30,Card,Nagpur,Electronics,M1844,C32877,6052.86,0.849,night_burst,Critical,Escalated,0,0,Queue
ALT0001896,TXN00001218,2025-07-28 02:51:19,UPI,Nagpur,Travel,M1061,C51345,955.23,0.833,device,Critical,Escalated,0,0,Queue
ALT0001983,TXN00018045,2025-07-29 00:21:44,UPI,Hyderabad,Utilities,M1484,C58451,13335.25,0.831,new_payee,Critical,Open,0,0,Queue
ALT0002153,TXN00039211,2025-07-30 02:58:57,Card,Jaipur,Fuel,M1049,C38091,31318.95,0.898,night_burst,Critical,Escalated,0,0,Queue
ALT0002516,TXN00002147,2025-08-01 23:22:13,Card,Kochi,Utilities,M1359,C69076,5387.23,0.877,night_burst,Critical,Escalated,0,0,Queue
ALT0002653,TXN00014482,2025-08-02 19:55:24,Card,Lucknow,Education,M1348,C32295,20623.95,0.855,new_payee,Critical,Open,0,0,Queue
ALT0002918,TXN00016971,2025-08-04 18:12:31,UPI,Mumbai,Grocery,M1335,C24241,14193.45,0.844,device,Critical,Escalated,0,0,Queue
ALT0002969,TXN00004744,2025-08-05 01:01:06,Wallet,Nagpur,Travel,M1160,C20756,6474.51,0.833,new_payee,Critical,Escalated,0,0,Queue
ALT0003049,TXN00036419,2025-08-05 04:59:02,UPI,Bengaluru,Education,M1028,C80933,694.98,0.821,velocity,Critical,Investigating,0,0,Queue
ALT0003066,TXN00033906,2025-08-05 12:09:17,Card,Mumbai,Food Delivery,M1764,C54135,35884.97,0.998,geo_mismatch,Critical,Escalated,0,0,Queue
ALT0003583,TXN00042600,2025-08-09 03:09:21,Card,Kolkata,Electronics,M1049,C80316,36759.01,0.938,night_burst,Critical,Open,0,0,Queue
ALT0003666,TXN00007179,2025-08-09 23:09:57,UPI,Indore,Fashion,M1400,C72922,2622.43,0.965,night_burst,Critical,Escalated,0,0,Queue
ALT0003728,TXN00012081,2025-08-10 04:25:25,Wallet,Chennai,Grocery,M1574,C86114,2826.44,0.824,device,Critical,Escalated,0,0,Queue
ALT0000035,TXN00031963,2025-07-15 02:03:50,UPI,Chennai,Grocery,M1049,C58608,407.75,0.683,velocity,High,Escalated,0,0,Queue
ALT0000039,TXN00004002,2025-07-15 02:15:49,Wallet,Chandigarh,Fuel,M1524,C86157,2869.25,0.81,night_burst,High,Open,0,0,Queue
ALT0000092,TXN00009212,2025-07-15 12:17:55,Card,Bengaluru,Healthcare,M1451,C73903,30508.53,0.681,velocity,High,Escalated,0,0,Queue
ALT0000093,TXN00002301,2025-07-15 13:16:17,UPI,Nagpur,Travel,M1305,C54742,15698.3,0.744,velocity,High,Investigating,0,0,Queue
ALT0000107,TXN00003474,2025-07-15 16:53:55,Card,Mumbai,Travel,M1399,C20334,6492.88,0.759,new_payee,High,Investigating,0,0,Queue
ALT0000145,TXN00041093,2025-07-15 23:44:21,UPI,Delhi,Fashion,M1568,C82786,1318.35,0.745,velocity,High,Escalated,0,0,Queue
ALT0000157,TXN00017982,2025-07-16 00:44:34,UPI,Kochi,Fashion,M1158,C46910,32453.31,0.761,new_payee,High,Open,0,0,Queue
ALT0000167,TXN00020435,2025-07-16 01:08:55,Card,Indore,Utilities,M1893,C65224,3266.91,0.753,device,High,Investigating,0,0,Queue
ALT0000191,TXN00046233,2025-07-16 02:47:27,UPI,Pune,Utilities,M1259,C65806,1741.59,0.796,night_burst,High,Investigating,0,0,Queue
ALT0000201,TXN00023448,2025-07-16 03:39:22,Card,Ahmedabad,Gaming,M1548,C81551,18927.76,0.785,night_burst,High,Escalated,0,0,Queue
ALT0000329,TXN00026545,2025-07-17 01:47:22,UPI,Indore,Gaming,M1497,C72427,5165.69,0.75,velocity,High,Open,0,0,Queue
ALT0000338,TXN00041707,2025-07-17 02:10:10,UPI,Lucknow,Gaming,M1272,C43295,3168.63,0.735,velocity,High,Investigating,0,0,Queue
ALT0000372,TXN00006252,2025-07-17 04:24:41,UPI,Indore,Gaming,M1774,C65236,13457.72,0.792,device,High,Investigating,0,0,Queue
ALT0000377,TXN00033300,2025-07-17 04:49:38,UPI,Delhi,Travel,M1177,C75888,2870.45,0.71,night_burst,High,Investigating,0,0,Queue
ALT0000445,TXN00019028,2025-07-17 23:35:49,UPI,Chennai,Grocery,M1460,C61451,6067.43,0.715,night_burst,High,Investigating,0,0,Queue
ALT0000462,TXN00008966,2025-07-18 00:36:09,UPI,Kochi,Healthcare,M1241,C81754,2313.53,0.813,night_burst,High,Escalated,0,0,Queue
ALT0000487,TXN00006189,2025-07-18 02:55:55,UPI,Nagpur,Food Delivery,M1561,C84150,15059.3,0.724,night_burst,High,Escalated,0,0,Queue
ALT0000590,TXN00005334,2025-07-19 00:01:33,UPI,Mumbai,Gaming,M1505,C32601,2129.53,0.816,device,High,Investigating,0,0,Queue
ALT0000604,TXN00024415,2025-07-19 01:05:16,Card,Chandigarh,Grocery,M1680,C81873,1286.5,0.756,geo_mismatch,High,Escalated,0,0,Queue
ALT0000622,TXN00016428,2025-07-19 02:33:42,UPI,Pune,Utilities,M1133,C73342,20779.13,0.718,amount_spike,High,Escalated,0,0,Queue
ALT0000630,TXN00002526,2025-07-19 02:48:31,UPI,Chennai,Fashion,M1254,C87448,1188.46,0.778,new_payee,High,Escalated,0,0,Queue
ALT0000631,TXN00000741,2025-07-19 03:00:00,Card,Indore,Healthcare,M1238,C47424,4229.97,0.728,device,High,Investigating,0,0,Queue
ALT0000638,TXN00031365,2025-07-19 03:32:08,UPI,Delhi,Food Delivery,M1279,C35829,3607.68,0.716,device,High,Escalated,0,0,Queue
ALT0000641,TXN00000492,2025-07-19 03:46:33,UPI,Indore,Fashion,M1707,C58733,10188.6,0.779,new_payee,High,Investigating,0,0,Queue
ALT0000642,TXN00032514,2025-07-19 03:47:07,Card,Mumbai,Food Delivery,M1432,C77430,288980.67,0.751,velocity,High,Investigating,0,0,Queue
ALT0000657,TXN00044619,2025-07-19 04:45:37,UPI,Delhi,Travel,M1053,C86581,12518.22,0.749,velocity,High,Escalated,0,0,Queue
ALT0000710,TXN00027180,2025-07-19 23:55:31,UPI,Ahmedabad,Electronics,M1797,C12771,1368.66,0.778,velocity,High,Escalated,0,0,Queue
ALT0000713,TXN00041710,2025-07-20 00:00:14,Wallet,Ahmedabad,Travel,M1121,C37601,1284.64,0.745,velocity,High,Investigating,0,0,Queue
ALT0000736,TXN00028147,2025-07-20 01:13:31,UPI,Pune,Electronics,M1382,C41779,1548.42,0.768,night_burst,High,Investigating,0,0,Queue
ALT0000751,TXN00001258,2025-07-20 02:33:54,UPI,Hyderabad,Travel,M1480,C27406,21869.98,0.695,geo_mismatch,High,Investigating,0,0,Queue
