date,alerts,high_risk,blocked,false_positives,amount_at_risk,avg_score,block_rate,fp_rate
2025-07-15,146,11,28,67,2735460.41,0.5733835616438356,0.1918,0.4589
2025-07-16,145,13,23,58,2795984.05,0.5779034482758622,0.1586,0.4
2025-07-17,160,18,32,65,2380005.01,0.5926750000000001,0.2,0.4062
2025-07-18,136,11,26,66,2617881.92,0.5741029411764706,0.1912,0.4853
2025-07-19,125,17,20,59,2332985.51,0.5843200000000001,0.16,0.472
2025-07-20,147,18,32,60,2561548.94,0.5821292517006802,0.2177,0.4082
2025-07-21,119,11,20,50,2306133.57,0.5858907563025211,0.1681,0.4202
2025-07-22,145,23,28,55,2175192.99,0.5977517241379311,0.1931,0.3793
2025-07-23,139,23,26,56,1783890.9200000002,0.5920791366906475,0.1871,0.4029
2025-07-24,134,11,24,62,2019488.46,0.5793582089552238,0.1791,0.4627
2025-07-25,149,21,31,54,1895684.47,0.5975637583892618,0.2081,0.3624
2025-07-26,163,17,32,77,3462766.36,0.5813865030674847,0.1963,0.4724
2025-07-27,152,20,24,65,3803667.85,0.5914802631578947,0.1579,0.4276
2025-07-28,112,10,18,44,2485920.09,0.5805892857142857,0.1607,0.3929
2025-07-29,123,25,20,42,2213782.16,0.6053008130081301,0.1626,0.3415
2025-07-30,136,17,22,54,3090867.81,0.5866176470588236,0.1618,0.3971
2025-07-31,132,11,36,53,2159411.8,0.587280303030303,0.2727,0.4015
2025-08-01,162,21,34,59,2451799.18,0.5901913580246914,0.2099,0.3642
2025-08-02,146,14,31,53,2447242.9,0.5870616438356164,0.2123,0.363
2025-08-03,138,16,22,63,3617665.02,0.5876594202898551,0.1594,0.4565
2025-08-04,140,18,30,57,2441595.34,0.5875357142857143,0.2143,0.4071
2025-08-05,164,21,30,65,2863723.12,0.5907256097560976,0.1829,0.3963
2025-08-06,127,14,27,58,1926052.47,0.5862913385826772,0.2126,0.4567
2025-08-07,146,11,32,68,2413086.44,0.5825684931506849,0.2192,0.4658
2025-08-08,149,18,35,57,3722934.61,0.581013422818792,0.2349,0.3826
2025-08-09,145,21,28,48,2106300.06,0.5902137931034483,0.1931,0.331
2025-08-10,107,6,20,49,2121164.64,0.5766915887850468,0.1869,0.4579
2025-08-11,113,13,19,52,1735905.02,0.5908141592920354,0.1681,0.4602
2025-08-12,154,11,32,65,2973502.66,0.5852272727272727,0.2078,0.4221
2025-08-13,146,11,23,68,2747401.06,0.5698356164383561,0.1575,0.4658
