merchant_category,alerts,amount_at_risk,avg_score,blocked
Grocery,711,11774997.64,0.5824571026722926,126
Food Delivery,546,10695179.95,0.5801721611721612,85
Fashion,501,9050276.959999999,0.5910099800399201,96
Fuel,475,8170677.92,0.5947221052631578,108
Electronics,467,9639280.16,0.5814539614561027,84
Utilities,378,6055803.51,0.5815449735449736,69
Travel,331,5148853.62,0.5879848942598187,76
Gaming,294,4995739.08,0.5880578231292517,56
Healthcare,289,6417719.65,0.5869723183391004,71
Education,208,4440516.35,0.5906346153846154,34
