merchant_id,merchant_category,city,alerts,amount_at_risk,high_risk,avg_score
M1586,Healthcare,Ahmedabad,3,190097.36,0,0.5593333333333333
M1704,Electronics,Lucknow,2,7951.88,0,0.492
M1377,Fashion,Chandigarh,2,9506.02,0,0.545
M1364,Travel,Jaipur,2,14810.41,1,0.6395
M1714,Fuel,Surat,2,20675.27,0,0.5525
M1554,Food Delivery,Chandigarh,2,4277.88,0,0.5375
M1140,Grocery,Hyderabad,2,3150.7,0,0.625
M1618,Healthcare,Mumbai,2,23183.96,0,0.5365
M1886,Fuel,Ahmedabad,2,55293.93,2,0.697
M1557,Grocery,Chandigarh,2,17289.940000000002,1,0.6335
M1732,Food Delivery,Lucknow,2,2591.9700000000003,0,0.569
M1871,Electronics,Mumbai,2,14911.38,0,0.5535
M1546,Fashion,Chandigarh,2,354119.28,1,0.6305000000000001
M1177,Gaming,Chennai,2,43210.69,0,0.577
M1189,Utilities,Lucknow,2,20006.19,0,0.5585
M1586,Healthcare,Hyderabad,2,13670.869999999999,0,0.5535000000000001
M1768,Fuel,Jaipur,2,38225.07,0,0.583
M1399,Grocery,Kochi,2,6001.93,0,0.5335000000000001
M1081,Grocery,Ahmedabad,2,107336.87000000001,0,0.5255000000000001
M1431,Utilities,Jaipur,2,21112.8,0,0.5265
M1208,Travel,Lucknow,2,7515.56,0,0.5225
M1760,Grocery,Indore,2,145562.72999999998,0,0.5655
M1208,Food Delivery,Delhi,2,19519.57,1,0.688
M1874,Travel,Lucknow,2,1367.46,0,0.5375
M1646,Grocery,Lucknow,2,7460.32,0,0.5835
M1099,Utilities,Lucknow,2,5578.57,0,0.5834999999999999
M1158,Grocery,Delhi,2,64395.9,0,0.63
M1853,Electronics,Kolkata,2,2988.38,1,0.631
M1679,Food Delivery,Hyderabad,2,33998.869999999995,0,0.556
M1245,Fashion,Kolkata,2,30618.31,0,0.519
M1382,Fashion,Hyderabad,2,17320.620000000003,0,0.5425
M1469,Food Delivery,Chandigarh,2,4871.94,0,0.597
M1710,Grocery,Chandigarh,2,130493.8,0,0.5005
M1756,Travel,Ahmedabad,2,76086.45999999999,1,0.743
M1527,Healthcare,Delhi,2,22730.379999999997,0,0.5655
M1216,Fashion,Kolkata,2,37771.770000000004,1,0.6605
M1377,Gaming,Mumbai,2,33214.72,0,0.5289999999999999
M1437,Fashion,Jaipur,2,16719.920000000002,0,0.556
M1103,Travel,Kochi,2,23384.300000000003,0,0.569
M1512,Grocery,Bengaluru,2,21534.090000000004,0,0.5215000000000001
M1723,Fuel,Indore,2,1545.54,0,0.5565
M1171,Electronics,Indore,2,6045.12,1,0.6915
M1371,Utilities,Pune,2,17202.1,0,0.5695
M1198,Fashion,Nagpur,2,53811.85,0,0.5805
M1368,Fuel,Pune,2,18437.26,0,0.611
M1389,Food Delivery,Pune,2,52649.83,0,0.5925
M1774,Grocery,Chennai,2,71153.59,0,0.5925
M1089,Grocery,Bengaluru,2,32286.420000000002,0,0.585
M1112,Grocery,Jaipur,2,142237.79,0,0.5449999999999999
M1039,Fashion,Jaipur,2,89896.45,0,0.5825
