txn_id,txn_ts,channel,city,merchant_category,merchant_id,customer_id,amount_inr,log_amount,hour,is_weekend,is_night,is_new_device,is_geo_shift,txn_count_1h,cust_txn_n,merchant_fraud_rate,fraud_score,eng_fraud_score,is_fraud_label
TXN00023198,2025-07-15 00:00:07,Card,Indore,Fuel,M1776,C82440,17838.31,9.789159728255976,0,0,1,0,0,7,2,0.01694915254237288,0.355,0.441,0
TXN00037619,2025-07-15 00:00:45,UPI,Chennai,Fuel,M1717,C38554,6872.31,8.835401074134712,0,0,1,0,0,10,2,0.018518518518518517,0.486,0.408,0
TXN00019476,2025-07-15 00:01:32,Wallet,Kochi,Education,M1159,C30759,907.14,6.811398551738031,0,0,1,0,0,12,1,0.017857142857142856,0.522,0.377,0
TXN00017731,2025-07-15 00:01:41,UPI,Hyderabad,Fashion,M1884,C35405,1914.07,7.557509454471487,0,0,1,0,0,7,1,0.07692307692307693,0.466,0.4,0
TXN00040002,2025-07-15 00:03:05,UPI,Chennai,Gaming,M1637,C64044,3121.24,8.046305971919585,0,0,1,0,0,11,1,0.0196078431372549,0.362,0.381,0
TXN00045949,2025-07-15 00:04:36,Card,Kolkata,Grocery,M1001,C89471,15653.55,9.6585168885374,0,0,1,0,0,1,1,0.0,0.39,0.28,0
TXN00012713,2025-07-15 00:04:39,Card,Kochi,Fuel,M1462,C89908,5049.55,8.527252427230135,0,0,1,0,0,11,2,0.018867924528301886,0.465,0.397,0
TXN00028822,2025-07-15 00:04:55,UPI,Hyderabad,Fashion,M1489,C61519,5798.02,8.665444216740989,0,0,1,0,0,13,2,0.018518518518518517,0.405,0.402,0
TXN00014400,2025-07-15 00:05:01,Card,Bengaluru,Food Delivery,M1046,C71418,2515.01,7.830429592375231,0,0,1,0,0,3,2,0.03636363636363636,0.306,0.234,0
TXN00032748,2025-07-15 00:05:54,Card,Bengaluru,Education,M1584,C43157,2631.44,7.875666451725596,0,0,1,0,0,13,1,0.034482758620689655,0.389,0.383,0
TXN00036440,2025-07-15 00:06:08,Card,Mumbai,Food Delivery,M1777,C53845,2677.05,7.892844196726562,0,0,1,0,1,12,2,0.044444444444444446,0.637,0.567,0
TXN00008534,2025-07-15 00:08:45,UPI,Jaipur,Electronics,M1203,C61873,3173.84,8.0630125163562,0,0,1,0,0,9,4,0.017543859649122806,0.509,0.38,0
TXN00016633,2025-07-15 00:10:03,Card,Nagpur,Grocery,M1283,C83500,2618.96,7.870914329463026,0,0,1,1,0,13,3,0.03636363636363636,0.628,0.584,0
TXN00005617,2025-07-15 00:10:50,Wallet,Bengaluru,Fuel,M1104,C83143,2329.29,7.7537480023341185,0,0,1,0,0,3,1,0.017241379310344827,0.268,0.227,0
