alert_id,txn_id,alert_ts,channel,city,merchant_category,merchant_id,customer_id,amount_inr,fraud_score,rule_hit,severity,status,is_false_positive,is_blocked,analyst_queue
ALT0000001,TXN00019476,2025-07-15 00:01:32,Wallet,Kochi,Education,M1159,C30759,6307.71,0.522,night_burst,Low,Investigating,0,0,Queue
ALT0000002,TXN00036440,2025-07-15 00:06:08,Card,Mumbai,Food Delivery,M1777,C53845,2677.05,0.637,new_payee,Medium,Cleared,1,0,Done
ALT0000003,TXN00008534,2025-07-15 00:08:45,UPI,Jaipur,Electronics,M1203,C61873,3173.84,0.509,night_burst,Low,Open,0,0,Queue
ALT0000004,TXN00016633,2025-07-15 00:10:03,Card,Nagpur,Grocery,M1283,C83500,2618.96,0.628,device,Medium,Blocked,0,1,Done
ALT0000005,TXN00025566,2025-07-15 00:14:15,UPI,Jaipur,Education,M1898,C56616,916.62,0.557,night_burst,Medium,Open,0,0,Queue
ALT0000006,TXN00018696,2025-07-15 00:18:05,UPI,Kolkata,Food Delivery,M1264,C74505,2841.31,0.568,new_payee,Medium,Cleared,1,0,Done
ALT0000007,TXN00022648,2025-07-15 00:18:14,UPI,Ahmedabad,Fashion,M1429,C66749,86412.01,0.515,velocity,Low,Investigating,0,0,Queue
ALT0000008,TXN00006861,2025-07-15 00:22:48,Card,Jaipur,Education,M1431,C74160,1672.12,0.514,new_payee,Low,Open,0,0,Queue
ALT0000009,TXN00024934,2025-07-15 00:24:29,UPI,Jaipur,Food Delivery,M1045,C79796,13981.93,0.6,velocity,Medium,Investigating,0,0,Queue
ALT0000010,TXN00034037,2025-07-15 00:29:27,UPI,Chandigarh,Food Delivery,M1554,C50629,638.28,0.482,velocity,Low,Cleared,1,0,Done
ALT0000011,TXN00019612,2025-07-15 00:29:52,UPI,Chandigarh,Utilities,M1418,C47872,1487.91,0.577,velocity,Medium,Cleared,1,0,Done
ALT0000012,TXN00035524,2025-07-15 00:31:02,UPI,Bengaluru,Grocery,M1864,C61915,1935.21,0.567,new_payee,Medium,Cleared,1,0,Done
ALT0000013,TXN00031485,2025-07-15 00:31:50,UPI,Mumbai,Travel,M1189,C48917,55246.71,0.48,night_burst,Low,Open,0,0,Queue
ALT0000014,TXN00000390,2025-07-15 00:35:38,Card,Kolkata,Utilities,M1799,C87174,2821.79,0.57,velocity,Medium,Cleared,1,0,Done
ALT0000015,TXN00047208,2025-07-15 00:37:12,UPI,Mumbai,Utilities,M1592,C64808,13087.77,0.54,geo_mismatch,Low,Cleared,1,0,Done
ALT0000016,TXN00017899,2025-07-15 00:37:27,UPI,Chandigarh,Grocery,M1083,C84428,42549.23,0.59,amount_spike,Medium,Open,0,0,Queue
ALT0000017,TXN00016613,2025-07-15 00:51:43,UPI,Delhi,Gaming,M1707,C63084,2276.51,0.515,velocity,Low,Cleared,1,0,Done
ALT0000018,TXN00021431,2025-07-15 00:55:25,Card,Nagpur,Utilities,M1402,C89466,63419.93,0.762,velocity,High,Blocked,0,1,Done
ALT0000019,TXN00018440,2025-07-15 00:59:01,UPI,Ahmedabad,Food Delivery,M1717,C27753,13652.39,0.644,night_burst,Medium,Cleared,1,0,Done
ALT0000020,TXN00017804,2025-07-15 01:02:51,Card,Jaipur,Food Delivery,M1428,C28617,2589.6,0.625,geo_mismatch,Medium,Escalated,0,0,Queue
ALT0000021,TXN00012403,2025-07-15 01:04:53,Wallet,Nagpur,Healthcare,M1644,C89294,1835.34,0.558,night_burst,Medium,Cleared,1,0,Done
ALT0000022,TXN00029077,2025-07-15 01:18:13,Card,Ahmedabad,Fuel,M1849,C26731,8338.07,0.615,velocity,Medium,Blocked,1,1,Done
ALT0000023,TXN00047711,2025-07-15 01:23:02,UPI,Delhi,Grocery,M1202,C78630,2912.18,0.604,new_payee,Medium,Investigating,0,0,Queue
ALT0000024,TXN00009834,2025-07-15 01:29:57,Wallet,Kochi,Fashion,M1379,C12454,78919.86,0.616,velocity,Medium,Investigating,0,0,Queue
ALT0000025,TXN00032604,2025-07-15 01:30:14,UPI,Bengaluru,Education,M1515,C37390,2997.89,0.614,new_payee,Medium,Open,0,0,Queue
ALT0000026,TXN00044005,2025-07-15 01:33:14,UPI,Pune,Grocery,M1639,C89427,21182.27,0.675,velocity,Medium,Escalated,0,0,Queue
ALT0000027,TXN00011368,2025-07-15 01:35:51,UPI,Kochi,Healthcare,M1026,C41499,1342.44,0.515,night_burst,Low,Cleared,1,0,Done
ALT0000028,TXN00040234,2025-07-15 01:37:50,Card,Jaipur,Education,M1202,C52176,19060.54,0.613,night_burst,Medium,Open,0,0,Queue
