dispute_id,txn_id,opened_ts,channel,city,amount_inr,dispute_type,status
DSP000001,TXN00029248,2025-07-15 19:46:03,UPI,Nagpur,7878.52,Unauthorized,Under Review
DSP000002,TXN00006331,2025-07-16 03:38:11,UPI,Chennai,2280.0,Account takeover,Lost
DSP000003,TXN00043171,2025-07-17 10:22:11,UPI,Surat,14385.89,Amount mismatch,Under Review
DSP000004,TXN00004699,2025-07-17 17:10:40,UPI,Pune,1760.9,Goods not received,Under Review
DSP000005,TXN00043808,2025-07-18 04:04:04,UPI,Hyderabad,18111.17,Duplicate charge,Lost
DSP000006,TXN00010259,2025-07-18 05:21:19,UPI,Jaipur,2288.45,Goods not received,Under Review
DSP000007,TXN00004557,2025-07-15 21:25:26,UPI,Chandigarh,1383.16,Unauthorized,Won
DSP000008,TXN00042804,2025-07-17 09:27:35,Card,Chennai,85764.99,Unauthorized,Won
DSP000009,TXN00009983,2025-07-15 14:36:41,UPI,Chennai,7265.59,Amount mismatch,Withdrawn
DSP000010,TXN00026667,2025-07-15 08:44:22,Wallet,Mumbai,1515.73,Duplicate charge,Lost
DSP000011,TXN00020732,2025-07-16 20:57:56,UPI,Bengaluru,22476.81,Goods not received,Under Review
DSP000012,TXN00034275,2025-07-17 02:20:33,UPI,Nagpur,9528.06,Goods not received,Open
DSP000013,TXN00003652,2025-07-17 04:46:10,UPI,Delhi,1233.67,Amount mismatch,Won
DSP000014,TXN00016632,2025-07-18 00:22:22,UPI,Chandigarh,3304.21,Account takeover,Open
DSP000015,TXN00033163,2025-07-17 11:59:18,UPI,Lucknow,75.65,Unauthorized,Under Review
DSP000016,TXN00034814,2025-07-18 01:15:25,Card,Chandigarh,2933.2,Amount mismatch,Open
DSP000017,TXN00029882,2025-07-16 00:46:32,Card,Kolkata,3866.39,Duplicate charge,Lost
DSP000018,TXN00033634,2025-07-16 22:21:22,Card,Chandigarh,2811.92,Unauthorized,Withdrawn
DSP000019,TXN00034698,2025-07-16 22:55:46,UPI,Bengaluru,2466.59,Unauthorized,Under Review
DSP000020,TXN00009234,2025-07-16 18:14:03,Card,Lucknow,5490.94,Duplicate charge,Won
DSP000021,TXN00029684,2025-07-18 02:30:38,UPI,Chennai,10457.28,Goods not received,Lost
DSP000022,TXN00046853,2025-07-17 15:18:50,UPI,Surat,4513.03,Duplicate charge,Open
DSP000023,TXN00005379,2025-07-17 16:09:12,UPI,Kochi,1236.1,Unauthorized,Won
DSP000024,TXN00034042,2025-07-18 09:58:55,UPI,Surat,272.29,Unauthorized,Under Review
DSP000025,TXN00044718,2025-07-18 09:33:24,Card,Mumbai,7960.52,Unauthorized,Open
DSP000026,TXN00020305,2025-07-16 19:26:04,Wallet,Pune,1085.35,Amount mismatch,Lost
DSP000027,TXN00029878,2025-07-17 17:59:27,UPI,Hyderabad,660.88,Goods not received,Open
DSP000028,TXN00023405,2025-07-17 08:08:40,UPI,Jaipur,78110.92,Goods not received,Withdrawn
DSP000029,TXN00044213,2025-07-18 23:11:37,Card,Ahmedabad,1208.51,Duplicate charge,Won
DSP000030,TXN00017939,2025-07-18 14:37:54,UPI,Chennai,2321.89,Unauthorized,Under Review
DSP000031,TXN00020586,2025-07-17 22:57:25,Card,Lucknow,7946.33,Account takeover,Withdrawn
DSP000032,TXN00040277,2025-07-17 09:57:56,Card,Ahmedabad,5516.29,Unauthorized,Open
DSP000033,TXN00035005,2025-07-18 22:18:31,Wallet,Jaipur,1578.7,Account takeover,Won
DSP000034,TXN00017228,2025-07-18 08:28:12,Card,Pune,1105.0,Unauthorized,Lost
DSP000035,TXN00028221,2025-07-16 09:56:32,Wallet,Nagpur,3085.78,Account takeover,Under Review
DSP000036,TXN00004689,2025-07-16 20:57:20,Card,Ahmedabad,2434.16,Account takeover,Lost
DSP000037,TXN00000149,2025-07-18 05:57:25,Card,Indore,14752.38,Unauthorized,Open
DSP000038,TXN00027860,2025-07-18 03:28:30,UPI,Kolkata,6031.18,Amount mismatch,Won
DSP000039,TXN00043200,2025-07-16 19:51:31,UPI,Ahmedabad,723.33,Unauthorized,Under Review
DSP000040,TXN00018665,2025-07-16 20:15:35,Card,Bengaluru,1071.39,Amount mismatch,Won
DSP000041,TXN00027679,2025-07-18 13:18:30,Wallet,Delhi,2808.76,Unauthorized,Lost
DSP000042,TXN00005344,2025-07-18 00:03:07,Wallet,Hyderabad,1390.38,Account takeover,Under Review
DSP000043,TXN00023853,2025-07-17 22:17:59,UPI,Surat,17752.68,Goods not received,Open
DSP000044,TXN00031525,2025-07-17 11:21:13,Card,Kochi,3988.8,Unauthorized,Under Review
DSP000045,TXN00014458,2025-07-16 23:31:06,Card,Jaipur,12987.2,Unauthorized,Open
DSP000046,TXN00001916,2025-07-18 06:01:01,UPI,Kolkata,3114.41,Goods not received,Open
DSP000047,TXN00011856,2025-07-19 03:17:57,Card,Nagpur,2828.83,Account takeover,Lost
DSP000048,TXN00002773,2025-07-17 09:01:13,UPI,Nagpur,423.37,Unauthorized,Lost
DSP000049,TXN00038626,2025-07-18 08:28:03,Card,Ahmedabad,46062.31,Unauthorized,Under Review
DSP000050,TXN00012011,2025-07-19 05:56:49,Card,Chennai,4746.12,Unauthorized,Under Review
DSP000051,TXN00047540,2025-07-19 04:03:44,UPI,Delhi,1804.88,Unauthorized,Under Review
DSP000052,TXN00005592,2025-07-19 09:05:06,UPI,Delhi,5151.56,Unauthorized,Lost
DSP000053,TXN00036355,2025-07-17 08:15:26,Card,Delhi,9060.68,Duplicate charge,Under Review
DSP000054,TXN00009754,2025-07-17 00:08:13,UPI,Jaipur,1835.27,Account takeover,Withdrawn
DSP000055,TXN00022785,2025-07-18 21:36:18,UPI,Nagpur,4788.6,Unauthorized,Won
DSP000056,TXN00008870,2025-07-16 23:47:58,UPI,Pune,1537.61,Goods not received,Won
DSP000057,TXN00009917,2025-07-16 23:40:44,Card,Kolkata,2741.49,Unauthorized,Under Review
DSP000058,TXN00034945,2025-07-19 18:39:41,UPI,Chennai,3716.23,Account takeover,Under Review
