alert_id,stream_ts,txn_id,channel,city,merchant_category,merchant_id,amount_inr,fraud_score,rule_hit,severity,status
ALT0003307,2025-08-13 18:00:00,TXN00037554,Card,Bengaluru,Fashion,M1356,18352.86,0.587,night_burst,Medium,Blocked
ALT0003318,2025-08-13 18:00:02,TXN00025085,UPI,Chennai,Utilities,M1051,862.07,0.555,velocity,Medium,Cleared
ALT0003319,2025-08-13 18:00:05,TXN00037121,UPI,Jaipur,Utilities,M1388,9895.47,0.533,night_burst,Low,Open
ALT0003323,2025-08-13 18:00:07,TXN00038840,Card,Kolkata,Food Delivery,M1286,7967.19,0.504,velocity,Low,Cleared
ALT0003324,2025-08-13 18:00:10,TXN00012204,UPI,Pune,Food Delivery,M1470,1722.93,0.603,velocity,Medium,Investigating
ALT0003332,2025-08-13 18:00:12,TXN00006677,UPI,Hyderabad,Fuel,M1368,3921.69,0.564,geo_mismatch,Medium,Cleared
ALT0003337,2025-08-13 18:00:15,TXN00018557,Card,Jaipur,Utilities,M1423,25720.92,0.578,amount_spike,Medium,Blocked
ALT0003345,2025-08-13 18:00:17,TXN00012794,Card,Chennai,Gaming,M1433,7320.34,0.647,new_payee,Medium,Cleared
ALT0003346,2025-08-13 18:00:20,TXN00037977,UPI,Kochi,Grocery,M1653,6098.33,0.518,velocity,Low,Cleared
ALT0003354,2025-08-13 18:00:22,TXN00024037,Card,Kolkata,Grocery,M1160,6066.94,0.554,velocity,Medium,Investigating
ALT0003356,2025-08-13 18:00:25,TXN00004725,UPI,Ahmedabad,Fuel,M1528,2868.42,0.53,device,Low,Investigating
ALT0003357,2025-08-13 18:00:27,TXN00047050,UPI,Chandigarh,Education,M1282,1039.67,0.48,velocity,Low,Cleared
ALT0003361,2025-08-13 18:00:30,TXN00033024,UPI,Nagpur,Fashion,M1616,20236.06,0.624,device,Medium,Cleared
ALT0003363,2025-08-13 18:00:32,TXN00043065,Card,Chennai,Electronics,M1584,28989.87,0.639,new_payee,Medium,Cleared
ALT0003365,2025-08-13 18:00:35,TXN00044414,Card,Chennai,Grocery,M1822,14997.93,0.483,device,Low,Investigating
ALT0003366,2025-08-13 18:00:37,TXN00045372,Wallet,Chandigarh,Food Delivery,M1312,120250.08,0.614,amount_spike,Medium,Escalated
ALT0003367,2025-08-13 18:00:40,TXN00018167,Card,Surat,Fuel,M1057,25311.91,0.593,new_payee,Medium,Open
ALT0003371,2025-08-13 18:00:42,TXN00034887,Card,Ahmedabad,Fuel,M1089,5782.74,0.562,night_burst,Medium,Cleared
ALT0003373,2025-08-13 18:00:45,TXN00028662,UPI,Chandigarh,Grocery,M1249,15210.48,0.507,new_payee,Low,Cleared
ALT0003375,2025-08-13 18:00:47,TXN00016955,UPI,Mumbai,Electronics,M1651,12574.35,0.578,new_payee,Medium,Blocked
ALT0003376,2025-08-13 18:00:50,TXN00025419,UPI,Jaipur,Electronics,M1231,19386.95,0.528,velocity,Low,Cleared
ALT0003382,2025-08-13 18:00:52,TXN00007274,Card,Lucknow,Fuel,M1233,106175.89,0.94,geo_mismatch,Critical,Blocked
ALT0003384,2025-08-13 18:00:55,TXN00041953,UPI,Delhi,Electronics,M1254,18942.91,0.681,night_burst,High,Blocked
ALT0003386,2025-08-13 18:00:57,TXN00034307,UPI,Chennai,Fuel,M1808,2292.15,0.508,night_burst,Low,Blocked
ALT0003387,2025-08-13 18:01:00,TXN00012624,UPI,Jaipur,Food Delivery,M1466,9400.38,0.578,night_burst,Medium,Cleared
ALT0003394,2025-08-13 18:01:02,TXN00010102,UPI,Surat,Fuel,M1334,1655.72,0.529,night_burst,Low,Open
